,스테이션명,위치,상태정보,위도,경도
185,한밭수목원2, 서구 만년동 396 ,정상,36.369084, 127.388451
186,양우건설 내안애, 유성구 원신흥동 485-3 ,정상,36.344262, 127.347305
187,구봉초등학교(건너편), 서구 관저동 1147 ,정상,36.298766, 127.329552
188,샘물타운아파트(301동), 유성구 원내동 349 ,정상,36.299757, 127.320351
189,교촌제이파크(101동), 유성구 교촌동 617 ,정상,36.303758, 127.318463
190,신흥마을아파트(102동), 동구 신흥동 212 ,정상,36.321234, 127.444964
191,보문산오거리, 중구 대사동 118-9 ,정상,36.317631, 127.425722
192,석교동주민센터, 중구 석교동 12-7 ,정상,36.309688, 127.441991
193,호동우체국(건너편), 중구 호동 10-14 ,정상,36.304773, 127.449311
194,한밭도서관, 중구 문화동 141 ,정상,36.310180, 127.408276
195,대덕문화원, 대덕구 읍내동 324-5 ,정상,36.374101, 127.420302
196,농도원네거리, 서구 도마동 65-56 ,정상,36.320184, 127.377671
197,도마네거리, 서구 도마동 172-13 ,정상,36.313804, 127.379636
198,노은1동주민센터, 유성구 노은동 546 ,정상,36.368231, 127.318006
199,지족역 2번출구(건너편), 유성구 지족동 840-2 ,정상,36.383723, 127.320175
200,노은3동주민센터, 유성구 지족동 1024-2 ,정상,36.386848, 127.308372
201,도안초등학교, 서구 도안동 1364 ,정상,36.320531, 127.344013
202,죽동 금성백조, 유성구 죽동 108-4 ,정상,36.368808, 127.336889
203,낭월 오투그란데(108동 맞은편), 동구 낭월동 215-2 ,정상,36.285012, 127.465722
204,대성삼거리, 동구 대성동 200-4 ,정상,36.294851, 127.460853
205,대전대 후문, 동구 용운동 631 ,정상,36.335207, 127.456495
206,가양초등학교, 동구 가양동 288-6 ,정상,36.343527, 127.442254
207,회덕농협(건너편), 대덕구 읍내동 573-4 ,정상,36.378989, 127.426780
208,동부여성가족원, 대덕구 법동 440-1 ,정상,36.374369, 127.428083
209,읍내동우편취급국, 대덕구 읍내 215-5 ,정상,36.378450, 127.421320
210,석봉문화센터, 대덕구 석봉동 184-1 ,정상,36.447408, 127.426423
211,대덕구보건소네거리(자연애마트), 대덕구 덕암동 12-1 ,정상,36.443816, 127.425462
212,송림네거리, 유성구 하기동 516 ,정상,36.387805, 127.321661
213,외삼네거리(603동), 유성구 반석동 613 ,정상,36.395302, 127.309877
214,지족초등학교, 유성구 지족동 853 ,정상,36.379658, 127.317772
215,건양대학교병원, 서구 관저동 1900 ,정상,36.306014, 127.340860
216,초록마을아파트3단지, 서구 복수동 613 ,정상,36.300538, 127.378890
217,충대병원입구(건너편), 중구 대사동 248-29 ,정상,36.318190, 127.416970
218,문화초등학교네거리, 중구 유천동 168-8 ,정상,36.313090, 127.399430
219,머티네거리, 중구 산성동 160-9 ,정상,36.309576, 127.388099
220,갈마중학교(서부장로교회), 서구 갈마동 338-1 ,정상,36.349120, 127.368355
221,갈마아파트 한마음동산, 서구 갈마동 392-6 ,정상,36.344257, 127.368008
222,가양비래공원네거리, 대덕구 비래동 47-1 ,정상,36.353415, 127.454012
223,정림삼거리, 서구 정림동 497 ,정상,36.307341, 127.364028
224,대전보건대, 동구 가양동 88-1 ,정상,36.348927, 127.451465
225,대정동 모다아울렛, 유성구 대정동 303-2 ,정상,36.312700, 127.319812
226,죽동 대원칸타빌, 유성구 죽동 141-3 ,정상,36.369209, 127.333916
227,노은3지구 트리풀시티포레(105동), 유성구 지족동 1043 ,정상,36.380921, 127.305728
228,송림마을5단지(502동), 유성구 하기동 545 ,정상,36.391066, 127.329563
229,노은3지구 꿈에그린(201동), 유성구 지족동 1093 ,정상,36.388147, 127.303323
230,덕명동 하우스토리(101동), 유성구 덕명동 525 ,정상,36.358066, 127.303964
231,온천2동주민센터, 유성구 장대동 40-2 ,정상,36.364870, 127.333479
232,대덕산업단지 BRT정류장, 대덕구 문평동 92-1 ,정상,36.438114, 127.395328
233,와동 현대아파트(대덕의원), 대덕구 와동 372-7 ,정상,36.400507, 127.422846
234,비래동 금성백조(102동), 대덕구 비래동 130-7 ,정상,36.358135, 127.450793
235,가양2동주민센터(건너편 한산아파트), 동구 가양동 55-3 ,정상,36.349003, 127.447924
236,변동네거리(복음천하교회), 서구 변동 60-2 ,정상,36.324438, 127.378530
237,내동네거리(컨벤션웨딩홀), 서구 변동 70-9 ,정상,36.330836, 127.377080
238,느리울중네거리, 서구 관저동 1394 ,정상,36.296364, 127.340776
239,서부경찰서, 서구 복수동 292-14 ,정상,36.308404, 127.373714
240,사정동 웰빙24시 사우나, 중구 사정동 401 ,정상,36.296434, 127.384699
241,서대전역, 중구 오류동 170-1 ,정상,36.322254, 127.404760
242,솔브릿지 국제대학, 동구 삼성동 151-13 ,정상,36.339173, 127.433100
243,우송대 서문(건너편), 동구 가양동 307-3 ,정상,36.339000, 127.445151
244,천동초등학교, 동구 천동 199-64 ,정상,36.316658, 127.443987
245,용방마을아파트(301동), 동구 용운동 460 ,정상,36.327231, 127.451887
246,목동 한사랑아파트(109동), 중구 목동 112-12 ,정상,36.333170, 127.412043
247,옥계동 새마을금고, 중구 옥계동 46-15 ,정상,36.298972, 127.454283
248,관저 금성백조(114동), 서구 관저동 1574 ,정상,36.295683, 127.334585
249,노은3지구 영무예다음(102동), 유성구 지족동 1052 ,정상,36.374552, 127.305430
250,관저 더샵(109동), 서구 관저동 1985 ,정상,36.293458, 127.328742
251,대전정부청사 남문, 서구 둔산동 1517 ,정상,36.359667, 127.385135
252,가수원파출소(건너편), 서구 가수원동 1373 ,정상,36.308682, 127.351457
253,대전과학기술대학교 정문, 서구 복수동 257-5 ,정상,36.304556, 127.374818
254,용운국제수영장, 동구 용운동 301-12 ,정상,36.324729, 127.465291
255,신성동 수천이들 근린공원, 유성구 신성동 494 ,정상,36.393679, 127.352750
256,대전테크노파크, 유성구 용산동 605 ,정상,36.420851, 127.405341
257,천문대입구, 유성구 신성동 458 ,정상,36.382848, 127.355004
258,대덕대학교, 유성구 장동 48 ,정상,36.390462, 127.362420
259,오정농수산물 도매시장, 대덕구 오정동 45-1 ,정상,36.357693, 127.407763
260,도로교통공단(건너편 라도무스), 유성구 원신흥동 608 ,정상,36.332692, 127.333128
261,반석 더샵, 유성구 반석동 704 ,정상,36.390096, 127.305095
